name,bbox
tile_000001,"2485350,1109700,2485850,1110200"
tile_000002,"2485800,1110600,2486300,1111100"
tile_000003,"2485800,1111050,2486300,1111550"
tile_000004,"2485800,1111500,2486300,1112000"
tile_000005,"2486250,1109700,2486750,1110200"
tile_000006,"2486250,1110150,2486750,1110650"
tile_000007,"2486250,1110600,2486750,1111100"
tile_000008,"2486250,1111050,2486750,1111550"
tile_000009,"2486250,1111500,2486750,1112000"
tile_000010,"2486250,1111950,2486750,1112450"
tile_000011,"2486250,1112400,2486750,1112900"
tile_000012,"2486700,1110600,2487200,1111100"
tile_000013,"2486700,1111050,2487200,1111550"
tile_000014,"2486700,1111500,2487200,1112000"
tile_000015,"2486700,1111950,2487200,1112450"
tile_000016,"2486700,1112400,2487200,1112900"
tile_000017,"2486700,1112850,2487200,1113350"
tile_000018,"2486700,1113300,2487200,1113800"
tile_000019,"2486700,1117350,2487200,1117850"
tile_000020,"2486700,1117800,2487200,1118300"
tile_000021,"2486700,1118700,2487200,1119200"
tile_000022,"2486700,1119150,2487200,1119650"
tile_000023,"2487150,1110600,2487650,1111100"
tile_000024,"2487150,1111050,2487650,1111550"
tile_000025,"2487150,1111500,2487650,1112000"
tile_000026,"2487150,1111950,2487650,1112450"
tile_000027,"2487150,1112400,2487650,1112900"
tile_000028,"2487150,1112850,2487650,1113350"
tile_000029,"2487150,1113300,2487650,1113800"
tile_000030,"2487150,1113750,2487650,1114250"
tile_000031,"2487150,1116450,2487650,1116950"
tile_000032,"2487150,1116900,2487650,1117400"
tile_000033,"2487150,1117800,2487650,1118300"
tile_000034,"2487150,1118250,2487650,1118750"
tile_000035,"2487150,1118700,2487650,1119200"
tile_000036,"2487150,1119150,2487650,1119650"
tile_000037,"2487600,1111050,2488100,1111550"
tile_000038,"2487600,1111500,2488100,1112000"
tile_000039,"2487600,1111950,2488100,1112450"
tile_000040,"2487600,1112400,2488100,1112900"
tile_000041,"2487600,1112850,2488100,1113350"
tile_000042,"2487600,1113300,2488100,1113800"
tile_000043,"2487600,1113750,2488100,1114250"
tile_000044,"2487600,1114200,2488100,1114700"
tile_000045,"2487600,1116000,2488100,1116500"
tile_000046,"2487600,1116450,2488100,1116950"
tile_000047,"2487600,1116900,2488100,1117400"
tile_000048,"2487600,1117350,2488100,1117850"
tile_000049,"2487600,1117800,2488100,1118300"
tile_000050,"2487600,1118250,2488100,1118750"
tile_000051,"2487600,1118700,2488100,1119200"
tile_000052,"2488050,1111050,2488550,1111550"
tile_000053,"2488050,1111500,2488550,1112000"
tile_000054,"2488050,1111950,2488550,1112450"
tile_000055,"2488050,1112400,2488550,1112900"
tile_000056,"2488050,1112850,2488550,1113350"
tile_000057,"2488050,1113300,2488550,1113800"
tile_000058,"2488050,1113750,2488550,1114250"
tile_000059,"2488050,1114200,2488550,1114700"
tile_000060,"2488050,1114650,2488550,1115150"
tile_000061,"2488050,1115100,2488550,1115600"
tile_000062,"2488050,1116000,2488550,1116500"
tile_000063,"2488050,1116450,2488550,1116950"
tile_000064,"2488050,1116900,2488550,1117400"
tile_000065,"2488050,1117800,2488550,1118300"
tile_000066,"2488050,1118250,2488550,1118750"
tile_000067,"2488050,1118700,2488550,1119200"
tile_000068,"2488050,1119150,2488550,1119650"
tile_000069,"2488500,1111050,2489000,1111550"
tile_000070,"2488500,1111500,2489000,1112000"
tile_000071,"2488500,1111950,2489000,1112450"
tile_000072,"2488500,1112400,2489000,1112900"
tile_000073,"2488500,1112850,2489000,1113350"
tile_000074,"2488500,1113300,2489000,1113800"
tile_000075,"2488500,1113750,2489000,1114250"
tile_000076,"2488500,1114200,2489000,1114700"
tile_000077,"2488500,1114650,2489000,1115150"
tile_000078,"2488500,1115100,2489000,1115600"
tile_000079,"2488500,1115550,2489000,1116050"
tile_000080,"2488500,1116000,2489000,1116500"
tile_000081,"2488500,1116450,2489000,1116950"
tile_000082,"2488500,1116900,2489000,1117400"
tile_000083,"2488500,1117350,2489000,1117850"
tile_000084,"2488500,1117800,2489000,1118300"
tile_000085,"2488500,1118250,2489000,1118750"
tile_000086,"2488500,1118700,2489000,1119200"
tile_000087,"2488500,1119150,2489000,1119650"
tile_000088,"2488500,1119600,2489000,1120100"
tile_000089,"2488950,1111050,2489450,1111550"
tile_000090,"2488950,1111500,2489450,1112000"
tile_000091,"2488950,1111950,2489450,1112450"
tile_000092,"2488950,1112400,2489450,1112900"
tile_000093,"2488950,1112850,2489450,1113350"
tile_000094,"2488950,1113300,2489450,1113800"
tile_000095,"2488950,1113750,2489450,1114250"
tile_000096,"2488950,1114200,2489450,1114700"
tile_000097,"2488950,1114650,2489450,1115150"
tile_000098,"2488950,1115100,2489450,1115600"
tile_000099,"2488950,1115550,2489450,1116050"
tile_000100,"2488950,1116000,2489450,1116500"
tile_000101,"2488950,1116900,2489450,1117400"
tile_000102,"2488950,1117350,2489450,1117850"
tile_000103,"2488950,1117800,2489450,1118300"
tile_000104,"2488950,1118250,2489450,1118750"
tile_000105,"2488950,1118700,2489450,1119200"
tile_000106,"2488950,1119150,2489450,1119650"
tile_000107,"2488950,1119600,2489450,1120100"
tile_000108,"2489400,1111050,2489900,1111550"
tile_000109,"2489400,1111500,2489900,1112000"
tile_000110,"2489400,1111950,2489900,1112450"
tile_000111,"2489400,1112400,2489900,1112900"
tile_000112,"2489400,1112850,2489900,1113350"
tile_000113,"2489400,1113750,2489900,1114250"
tile_000114,"2489400,1114200,2489900,1114700"
tile_000115,"2489400,1114650,2489900,1115150"
tile_000116,"2489400,1115100,2489900,1115600"
tile_000117,"2489400,1115550,2489900,1116050"
tile_000118,"2489400,1116000,2489900,1116500"
tile_000119,"2489400,1117350,2489900,1117850"
tile_000120,"2489400,1117800,2489900,1118300"
tile_000121,"2489400,1118700,2489900,1119200"
tile_000122,"2489850,1111050,2490350,1111550"
tile_000123,"2489850,1111500,2490350,1112000"
tile_000124,"2489850,1111950,2490350,1112450"
tile_000125,"2489850,1112400,2490350,1112900"
tile_000126,"2489850,1112850,2490350,1113350"
tile_000127,"2489850,1113300,2490350,1113800"
tile_000128,"2489850,1114200,2490350,1114700"
tile_000129,"2489850,1114650,2490350,1115150"
tile_000130,"2489850,1115100,2490350,1115600"
tile_000131,"2489850,1115550,2490350,1116050"
tile_000132,"2489850,1116000,2490350,1116500"
tile_000133,"2489850,1116450,2490350,1116950"
tile_000134,"2489850,1116900,2490350,1117400"
tile_000135,"2489850,1117350,2490350,1117850"
tile_000136,"2489850,1117800,2490350,1118300"
tile_000137,"2489850,1118250,2490350,1118750"
tile_000138,"2489850,1118700,2490350,1119200"
tile_000139,"2489850,1119600,2490350,1120100"
tile_000140,"2489850,1120050,2490350,1120550"
tile_000141,"2489850,1120500,2490350,1121000"
tile_000142,"2490300,1111050,2490800,1111550"
tile_000143,"2490300,1112400,2490800,1112900"
tile_000144,"2490300,1112850,2490800,1113350"
tile_000145,"2490300,1113300,2490800,1113800"
tile_000146,"2490300,1113750,2490800,1114250"
tile_000147,"2490300,1114200,2490800,1114700"
tile_000148,"2490300,1114650,2490800,1115150"
tile_000149,"2490300,1115550,2490800,1116050"
tile_000150,"2490300,1116000,2490800,1116500"
tile_000151,"2490300,1116450,2490800,1116950"
tile_000152,"2490300,1116900,2490800,1117400"
tile_000153,"2490300,1117350,2490800,1117850"
tile_000154,"2490300,1117800,2490800,1118300"
tile_000155,"2490300,1118250,2490800,1118750"
tile_000156,"2490300,1118700,2490800,1119200"
tile_000157,"2490300,1119150,2490800,1119650"
tile_000158,"2490300,1119600,2490800,1120100"
tile_000159,"2490300,1120500,2490800,1121000"
tile_000160,"2490750,1111500,2491250,1112000"
tile_000161,"2490750,1111950,2491250,1112450"
tile_000162,"2490750,1113300,2491250,1113800"
tile_000163,"2490750,1113750,2491250,1114250"
tile_000164,"2490750,1114200,2491250,1114700"
tile_000165,"2490750,1114650,2491250,1115150"
tile_000166,"2490750,1115100,2491250,1115600"
tile_000167,"2490750,1115550,2491250,1116050"
tile_000168,"2490750,1116000,2491250,1116500"
tile_000169,"2490750,1116450,2491250,1116950"
tile_000170,"2490750,1116900,2491250,1117400"
tile_000171,"2490750,1117350,2491250,1117850"
tile_000172,"2490750,1117800,2491250,1118300"
tile_000173,"2490750,1118250,2491250,1118750"
tile_000174,"2490750,1118700,2491250,1119200"
tile_000175,"2490750,1119150,2491250,1119650"
tile_000176,"2490750,1119600,2491250,1120100"
tile_000177,"2490750,1120050,2491250,1120550"
tile_000178,"2491200,1110150,2491700,1110650"
tile_000179,"2491200,1111500,2491700,1112000"
tile_000180,"2491200,1111950,2491700,1112450"
tile_000181,"2491200,1112400,2491700,1112900"
tile_000182,"2491200,1112850,2491700,1113350"
tile_000183,"2491200,1113750,2491700,1114250"
tile_000184,"2491200,1114200,2491700,1114700"
tile_000185,"2491200,1114650,2491700,1115150"
